Nomenclator de Galicia. Ano 2017;;;;;;;;;;
Recuperados 382 rexistros;;;;;;;;;;
;;;;;;;;;;
PRO;CON;EC;ES;NUC;PROVINCIA;CONCELLO;NOME;TOTAL;HOMES;MULLERES
36;24;17;1;0;PONTEVEDRA;LALÍN;A BARREIRA;4;3;1
36;24;17;2;0;PONTEVEDRA;LALÍN;CRISTIMIL;21;11;10
36;24;17;3;0;PONTEVEDRA;LALÍN;GONDUFE;18;9;9
36;24;17;4;0;PONTEVEDRA;LALÍN;MATO;60;31;29
36;24;17;5;0;PONTEVEDRA;LALÍN;A OUTRALDEA;16;9;7
36;24;17;6;0;PONTEVEDRA;LALÍN;QUINTÁ;4;3;1
36;24;17;7;0;PONTEVEDRA;LALÍN;SANXURDO;40;21;19
36;24;18;0;0;PONTEVEDRA;LALÍN;DOADE (SAN PEDRO);127;62;65
36;24;18;1;0;PONTEVEDRA;LALÍN;CODESEDO;24;8;16
36;24;18;2;0;PONTEVEDRA;LALÍN;DOADE;13;6;7
36;24;18;3;0;PONTEVEDRA;LALÍN;A LAMA;28;16;12
36;24;18;4;0;PONTEVEDRA;LALÍN;NOGUEIRA;21;11;10
36;24;18;5;0;PONTEVEDRA;LALÍN;O PENEDO;17;7;10
36;24;18;6;0;PONTEVEDRA;LALÍN;PENELAS;1;1;0
36;24;18;7;0;PONTEVEDRA;LALÍN;SAN MARTIÑO;1;0;1
36;24;18;8;0;PONTEVEDRA;LALÍN;SAN PEDRO;12;6;6
36;24;18;9;0;PONTEVEDRA;LALÍN;TAÍN;10;7;3
36;24;19;0;0;PONTEVEDRA;LALÍN;DONRAMIRO (SANTA MARÍA);1030;493;537
36;24;19;1;0;PONTEVEDRA;LALÍN;AGRUCHAVE;39;19;20
36;24;19;2;0;PONTEVEDRA;LALÍN;DONRAMIRO;653;330;323
36;24;19;3;0;PONTEVEDRA;LALÍN;FILGUEIROA;214;89;125
36;24;19;4;0;PONTEVEDRA;LALÍN;A PENELA;77;36;41
36;24;19;6;0;PONTEVEDRA;LALÍN;TRASCASTRO;47;19;28
36;24;20;0;0;PONTEVEDRA;LALÍN;DONSIÓN (SANTA BAIA);215;109;106
36;24;20;1;0;PONTEVEDRA;LALÍN;BERGAZOS;34;18;16
36;24;20;2;0;PONTEVEDRA;LALÍN;O CAMPO;31;14;17
36;24;20;3;0;PONTEVEDRA;LALÍN;CARBALLUDE;44;20;24
36;24;20;4;0;PONTEVEDRA;LALÍN;DONSIÓN;12;4;8
36;24;20;5;0;PONTEVEDRA;LALÍN;ESTIVELLE;15;10;5
36;24;20;6;0;PONTEVEDRA;LALÍN;FONDEVILA;4;3;1
36;24;20;7;0;PONTEVEDRA;LALÍN;A EIRIXE;27;14;13
36;24;20;8;0;PONTEVEDRA;LALÍN;A PENA;48;26;22
36;24;21;0;0;PONTEVEDRA;LALÍN;FILGUEIRA (SANTA MARÍA);384;184;200
36;24;21;1;0;PONTEVEDRA;LALÍN;CARDEXÍA;30;17;13
36;24;21;2;0;PONTEVEDRA;LALÍN;A CIMA DO ALLE;25;11;14
36;24;21;3;0;PONTEVEDRA;LALÍN;O ESPIÑO;67;31;36
36;24;21;4;0;PONTEVEDRA;LALÍN;FILGUEIRA;14;7;7
36;24;21;5;0;PONTEVEDRA;LALÍN;O FONDO DO ALLE;34;20;14
36;24;21;6;0;PONTEVEDRA;LALÍN;A ERMIDA;38;16;22
36;24;21;7;0;PONTEVEDRA;LALÍN;OUTEIRO;65;30;35
36;24;21;8;0;PONTEVEDRA;LALÍN;O PORTO DO ALLE;68;32;36
36;24;21;9;0;PONTEVEDRA;LALÍN;RIBAS ALTAS;12;5;7
36;24;21;10;0;PONTEVEDRA;LALÍN;VILAR;31;15;16
36;24;22;0;0;PONTEVEDRA;LALÍN;GALEGOS (SAN MIGUEL);96;47;49
36;24;22;1;0;PONTEVEDRA;LALÍN;GALEGOS;46;23;23
36;24;22;2;0;PONTEVEDRA;LALÍN;PENAS;13;10;3
36;24;22;3;0;PONTEVEDRA;LALÍN;TOIMIL;37;14;23
36;24;23;0;0;PONTEVEDRA;LALÍN;A XESTA (SAN FIZ);224;107;117
36;24;23;1;0;PONTEVEDRA;LALÍN;CARRÁS;8;3;5
36;24;23;2;0;PONTEVEDRA;LALÍN;A FERVENZA;13;5;8
36;24;23;3;0;PONTEVEDRA;LALÍN;A XESTA;137;68;69
36;24;23;4;0;PONTEVEDRA;LALÍN;MEDELO;10;6;4
36;24;23;5;0;PONTEVEDRA;LALÍN;O NAVALLO;1;1;0
36;24;23;6;0;PONTEVEDRA;LALÍN;PONTENOUFE;13;6;7
36;24;23;7;0;PONTEVEDRA;LALÍN;SAN FIZ;23;10;13
36;24;23;8;0;PONTEVEDRA;LALÍN;SANTE;11;5;6
36;24;23;9;0;PONTEVEDRA;LALÍN;A VILA;8;3;5
36;24;24;0;0;PONTEVEDRA;LALÍN;GOIÁS (SAN MIGUEL);606;303;303
36;24;24;1;0;PONTEVEDRA;LALÍN;BAILÁS;86;46;40
36;24;24;2;0;PONTEVEDRA;LALÍN;CÁCEME;49;27;22
36;24;24;3;0;PONTEVEDRA;LALÍN;CASARES;9;5;4
36;24;24;4;0;PONTEVEDRA;LALÍN;AS CASAS NOVAS;67;30;37
36;24;24;5;0;PONTEVEDRA;LALÍN;COTARELO;57;29;28
36;24;24;6;0;PONTEVEDRA;LALÍN;DELAPARTE;32;14;18
36;24;24;7;0;PONTEVEDRA;LALÍN;A IGREXA;75;40;35
